code,country,gdp,lifespan,literacy
SWE,Sweden,552000,83,0.99
CHE,Switzerland,646200,82.8,0.99
TJK,Tajikistan,8513,68,0.998
THA,Thailand,400900,74.9,0.956
TGO,Togo,4299,57,0.754
TON,Tonga,477,74.5,0.988
TTO,Trinidad and Tobago,27130,74.8,0.991
TUN,Tunisia,48380,74.6,0.951
TUR,Turkey,821800,74.4,0.983
TKM,Turkmenistan,40560,66.5,0.993
UGA,Uganda,22600,56,0.768
UKR,Ukraine,175500,68.25,0.998
ARE,United Arab Emirates,390000,79.2,0.761
GBR,United Kingdom,2490000,81,0.99
USA,United States,16720000,79.8,0.99
URY,Uruguay,57110,77.3,0.976
UZB,Uzbekistan,55180,68.5,0.996
VUT,Vanuatu,828,72,N/A
YEM,Yemen,43890,64,0.812
ZMB,Zambia,22240,55.5,0.868
ZWE,Zimbabwe,10480,54,0.942
